ychild_bin,hhtype18,sex_label,mean_hours
0-1,"Partnered, own child <18",Men,1.7180651882187923
0-1,"Partnered, own child <18",Women,3.867154140737819
0-1,"Single, own child <18",Men,1.3186695142668636
0-1,"Single, own child <18",Women,3.0586689707638093
1-2,"Partnered, own child <18",Men,1.4801102917369673
1-2,"Partnered, own child <18",Women,2.780289830592243
1-2,"Single, own child <18",Men,1.3500244939891888
1-2,"Single, own child <18",Women,2.3157838936709303
3-5,"Partnered, own child <18",Men,1.1712839758734732
3-5,"Partnered, own child <18",Women,2.018193157404206
3-5,"Single, own child <18",Men,1.063974967586306
3-5,"Single, own child <18",Women,1.6467959348735042
6-12,"Partnered, own child <18",Men,0.6871011254453763
6-12,"Partnered, own child <18",Women,1.2826782008087885
6-12,"Single, own child <18",Men,0.8947836213700027
6-12,"Single, own child <18",Women,1.123488370927884
13-17,"Partnered, own child <18",Men,0.2544584827100326
13-17,"Partnered, own child <18",Women,0.48423932843981665
13-17,"Single, own child <18",Men,0.26205347015325803
13-17,"Single, own child <18",Women,0.49132893046210485
