ai_speed,share_mode,labor_dist,Scenario,component,delta_B,component_label
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,labor,15.7351498494936,Labor
Moderate,Reallocated,Compressive,Moderate AI · Reallocated shares · Compressive labor,labor,-4.5266729135019,Labor
Moderate,Reallocated,Expansive,Moderate AI · Reallocated shares · Expansive labor,labor,37.5102889930149,Labor
Rapid,Reallocated,Proportional,Rapid AI · Reallocated shares · Proportional labor,labor,-36.0319710124613,Labor
Rapid,Reallocated,Compressive,Rapid AI · Reallocated shares · Compressive labor,labor,-74.7252766878519,Labor
Rapid,Reallocated,Expansive,Rapid AI · Reallocated shares · Expansive labor,labor,9.02976474219577,Labor
Slow,Reallocated,Proportional,Slow AI · Reallocated shares · Proportional labor,labor,-12.0475000680008,Labor
Slow,Reallocated,Compressive,Slow AI · Reallocated shares · Compressive labor,labor,-15.4798500404941,Labor
Slow,Reallocated,Expansive,Slow AI · Reallocated shares · Expansive labor,labor,-8.58025745691975,Labor
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,capital,52.7340772104844,Capital
Moderate,Reallocated,Compressive,Moderate AI · Reallocated shares · Compressive labor,capital,52.7340772104844,Capital
Moderate,Reallocated,Expansive,Moderate AI · Reallocated shares · Expansive labor,capital,52.7340772104844,Capital
Rapid,Reallocated,Proportional,Rapid AI · Reallocated shares · Proportional labor,capital,122.932200326053,Capital
Rapid,Reallocated,Compressive,Rapid AI · Reallocated shares · Compressive labor,capital,122.932200326053,Capital
Rapid,Reallocated,Expansive,Rapid AI · Reallocated shares · Expansive labor,capital,122.932200326053,Capital
Slow,Reallocated,Proportional,Slow AI · Reallocated shares · Proportional labor,capital,11.8507249604036,Capital
Slow,Reallocated,Compressive,Slow AI · Reallocated shares · Compressive labor,capital,11.8507249604036,Capital
Slow,Reallocated,Expansive,Slow AI · Reallocated shares · Expansive labor,capital,11.8507249604036,Capital
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,interaction,0.0257895279983131,Interaction
Moderate,Reallocated,Compressive,Moderate AI · Reallocated shares · Compressive labor,interaction,-0.0185880125118274,Interaction
Moderate,Reallocated,Expansive,Moderate AI · Reallocated shares · Expansive labor,interaction,0.091387280644085,Interaction
Rapid,Reallocated,Proportional,Rapid AI · Reallocated shares · Proportional labor,interaction,-0.155147368337566,Interaction
Rapid,Reallocated,Compressive,Rapid AI · Reallocated shares · Compressive labor,interaction,-0.504212762140014,Interaction
Rapid,Reallocated,Expansive,Rapid AI · Reallocated shares · Expansive labor,interaction,0.0815239017138083,Interaction
Slow,Reallocated,Proportional,Slow AI · Reallocated shares · Proportional labor,interaction,-0.00379998303287721,Interaction
Slow,Reallocated,Compressive,Slow AI · Reallocated shares · Compressive labor,interaction,-0.0026685186467148,Interaction
Slow,Reallocated,Expansive,Slow AI · Reallocated shares · Expansive labor,interaction,-0.00433862614409009,Interaction
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,macro_cit,36.658756959679,Macro CIT
Moderate,Reallocated,Compressive,Moderate AI · Reallocated shares · Compressive labor,macro_cit,36.658756959679,Macro CIT
Moderate,Reallocated,Expansive,Moderate AI · Reallocated shares · Expansive labor,macro_cit,36.658756959679,Macro CIT
Rapid,Reallocated,Proportional,Rapid AI · Reallocated shares · Proportional labor,macro_cit,84.0011710987443,Macro CIT
Rapid,Reallocated,Compressive,Rapid AI · Reallocated shares · Compressive labor,macro_cit,84.0011710987443,Macro CIT
Rapid,Reallocated,Expansive,Rapid AI · Reallocated shares · Expansive labor,macro_cit,84.0011710987443,Macro CIT
Slow,Reallocated,Proportional,Slow AI · Reallocated shares · Proportional labor,macro_cit,8.36632274246801,Macro CIT
Slow,Reallocated,Compressive,Slow AI · Reallocated shares · Compressive labor,macro_cit,8.36632274246801,Macro CIT
Slow,Reallocated,Expansive,Slow AI · Reallocated shares · Expansive labor,macro_cit,8.36632274246801,Macro CIT
