age_bin,hhtype,sex_label,mean_hours
18-21,"Partnered, no child <13",Men,0.04781496364641653
18-21,"Partnered, no child <13",Women,0.03370992788849061
18-21,"Partnered, own child <13",Men,0.7490363333332722
18-21,"Partnered, own child <13",Women,2.4624839905760214
18-21,"Single, no child <13",Men,0.044854727388859914
18-21,"Single, no child <13",Women,0.0945627076121566
18-21,"Single, own child <13",Men,1.622882538552269
18-21,"Single, own child <13",Women,2.2443963828072238
22-25,"Partnered, no child <13",Men,0.01070586630148795
22-25,"Partnered, no child <13",Women,0.04531180881888767
22-25,"Partnered, own child <13",Men,1.3375197477561067
22-25,"Partnered, own child <13",Women,2.4659578709357506
22-25,"Single, no child <13",Men,0.03834877179450136
22-25,"Single, no child <13",Women,0.044655782098279216
22-25,"Single, own child <13",Men,0.8424884504245456
22-25,"Single, own child <13",Women,2.1578800554321025
26-30,"Partnered, no child <13",Men,0.01216269139795827
26-30,"Partnered, no child <13",Women,0.038490714162228594
26-30,"Partnered, own child <13",Men,1.2148269491447863
26-30,"Partnered, own child <13",Women,2.5664308254561137
26-30,"Single, no child <13",Men,0.01308183214639997
26-30,"Single, no child <13",Women,0.026896020516613703
26-30,"Single, own child <13",Men,1.0875135112868841
26-30,"Single, own child <13",Women,1.913504241151018
31-35,"Partnered, no child <13",Men,0.047121241795560063
31-35,"Partnered, no child <13",Women,0.08600270785306087
31-35,"Partnered, own child <13",Men,1.2659919043581713
31-35,"Partnered, own child <13",Women,2.4699041653440674
31-35,"Single, no child <13",Men,0.021163833330796085
31-35,"Single, no child <13",Women,0.08262869867750344
31-35,"Single, own child <13",Men,1.0240761015581483
31-35,"Single, own child <13",Women,1.5463408976713573
36-40,"Partnered, no child <13",Men,0.08384173169348813
36-40,"Partnered, no child <13",Women,0.18983675821292337
36-40,"Partnered, own child <13",Men,1.2132761751947596
36-40,"Partnered, own child <13",Women,2.0710981582695562
36-40,"Single, no child <13",Men,0.024106814650705428
36-40,"Single, no child <13",Women,0.16287113923635305
36-40,"Single, own child <13",Men,1.023992597369413
36-40,"Single, own child <13",Women,1.3547796684651372
41-45,"Partnered, no child <13",Men,0.10862644671872651
41-45,"Partnered, no child <13",Women,0.24371584538360166
41-45,"Partnered, own child <13",Men,0.9911449463303551
41-45,"Partnered, own child <13",Women,1.6503230994923126
41-45,"Single, no child <13",Men,0.03555676744896132
41-45,"Single, no child <13",Women,0.1932998487213114
41-45,"Single, own child <13",Men,0.9770811354684708
41-45,"Single, own child <13",Women,1.3352490061366638
46-50,"Partnered, no child <13",Men,0.11313719898180681
46-50,"Partnered, no child <13",Women,0.18355825750289675
46-50,"Partnered, own child <13",Men,0.7917168469469682
46-50,"Partnered, own child <13",Women,1.338631622579734
46-50,"Single, no child <13",Men,0.018210816354263717
46-50,"Single, no child <13",Women,0.12917222388034505
46-50,"Single, own child <13",Men,1.0779712049668377
46-50,"Single, own child <13",Women,1.2677118337125217
51-55,"Partnered, no child <13",Men,0.06333942988151406
51-55,"Partnered, no child <13",Women,0.11116906700669817
51-55,"Partnered, own child <13",Men,0.8855100711835592
51-55,"Partnered, own child <13",Women,1.0649877741986677
51-55,"Single, no child <13",Men,0.012745264909640333
51-55,"Single, no child <13",Women,0.09328558034747714
51-55,"Single, own child <13",Men,0.8860540909279323
51-55,"Single, own child <13",Women,1.1226743868856415
