group,param,bank,scenario,value
ai_adoption,gdp_growth,ai_scenarios,Slow,0.020
ai_adoption,gdp_growth,ai_scenarios,Moderate,0.026
ai_adoption,gdp_growth,ai_scenarios,Rapid,0.033
ai_adoption,capital_share,ai_scenarios,Slow,0.450
ai_adoption,capital_share,ai_scenarios,Moderate,0.462
ai_adoption,capital_share,ai_scenarios,Rapid,0.487
ai_adoption,labor_share,ai_scenarios,Slow,0.550
ai_adoption,labor_share,ai_scenarios,Moderate,0.538
ai_adoption,labor_share,ai_scenarios,Rapid,0.513
growth,gdp,ai_scenarios,Slow,0.0059
growth,gdp,ai_scenarios,Moderate,0.0358
growth,gdp,ai_scenarios,Rapid,0.0717
growth,capital,ai_scenarios,Slow,0.0172
growth,capital,ai_scenarios,Moderate,0.0754
growth,capital,ai_scenarios,Rapid,0.1728
growth,labor,ai_scenarios,Slow,-0.0032
growth,labor,ai_scenarios,Moderate,0.0041
growth,labor,ai_scenarios,Rapid,-0.0094
inequality,Compressive,ai_scenarios,Slow,0.994
inequality,Compressive,ai_scenarios,Moderate,0.964
inequality,Compressive,ai_scenarios,Rapid,0.928
inequality,Proportional,ai_scenarios,Slow,1.000
inequality,Proportional,ai_scenarios,Moderate,1.000
inequality,Proportional,ai_scenarios,Rapid,1.000
inequality,Expansive,ai_scenarios,Slow,1.006
inequality,Expansive,ai_scenarios,Moderate,1.036
inequality,Expansive,ai_scenarios,Rapid,1.072
