age_bin,cohort,sex_label,mean_hours
18-21,Older Millennials,Men,4.833918438720629
18-21,Older Millennials,Women,2.0806918465523463
18-21,Younger Millennials,Men,4.923625986868448
18-21,Younger Millennials,Women,1.525237887605882
22-25,Older Millennials,Men,5.035579348137611
22-25,Older Millennials,Women,2.337949752722129
22-25,Younger Millennials,Men,5.25230475535599
22-25,Younger Millennials,Women,2.2276864347158583
26-30,Older Millennials,Men,5.481914377275657
26-30,Older Millennials,Women,2.819446105374669
26-30,Younger Gen X,Men,5.601687549305052
26-30,Younger Gen X,Women,2.804550572887188
26-30,Younger Millennials,Men,5.047771469457105
26-30,Younger Millennials,Women,2.851351985071357
31-35,Older Millennials,Men,5.248000730503192
31-35,Older Millennials,Women,3.0868904442424014
31-35,Younger Gen X,Men,5.539431518106016
31-35,Younger Gen X,Women,2.969092498773593
36-40,Older Gen X,Men,5.5249892673917405
36-40,Older Gen X,Women,3.0934253503525486
36-40,Older Millennials,Men,5.591189652252875
36-40,Older Millennials,Women,3.4485097411287544
36-40,Younger Gen X,Men,5.594716152498893
36-40,Younger Gen X,Women,3.307499557700383
41-45,Older Gen X,Men,5.609346635900288
41-45,Older Gen X,Women,3.2100509779995265
41-45,Younger Gen X,Men,5.770558253968225
41-45,Younger Gen X,Women,3.5969214440732875
46-50,Older Gen X,Men,5.737329896412635
46-50,Older Gen X,Women,3.42312640305287
51-55,Older Gen X,Men,5.508242937782044
51-55,Older Gen X,Women,3.971472482076189
