category,panel,value
Canada,By trading partner,0.4378102488719366
Mexico,By trading partner,0.3711758092294827
United Kingdom,By trading partner,0.27051051305516355
South Korea,By trading partner,0.2418523332594068
Rest of world,By trading partner,0.2034529162754248
China,By trading partner,0.1546641291312994
European Union,By trading partner,0.14897739514402358
Japan,By trading partner,0.12101478490104128
Electricity,By product (GTAP sector),0.9857955492095292
Oil,By product (GTAP sector),0.9835377192723562
Gas,By product (GTAP sector),0.9827372964365613
Coal,By product (GTAP sector),0.9821909625827638
Petroleum & coal prod.,By product (GTAP sector),0.9818269293992969
Pharma & basic chem.,By product (GTAP sector),0.8650413873902016
Wheat,By product (GTAP sector),0.5979311381547701
Other grains,By product (GTAP sector),0.5875981851264727
Vegetable oils,By product (GTAP sector),0.5762715424972683
Processed rice,By product (GTAP sector),0.5628780926319776
Rice,By product (GTAP sector),0.5600793428781419
Cattle & sheep,By product (GTAP sector),0.47770600036510585
Other mining extraction,By product (GTAP sector),0.3518844110355258
Bovine meat,By product (GTAP sector),0.26513254970695294
Other animal prod.,By product (GTAP sector),0.2638616897085308
Other transport eq.,By product (GTAP sector),0.24427107416784286
Other manufactures,By product (GTAP sector),0.23134799011658908
Iron & steel,By product (GTAP sector),0.22391034495906112
Metal products,By product (GTAP sector),0.21470126394320985
Other meat,By product (GTAP sector),0.19258274344074938
Electronics,By product (GTAP sector),0.18779032382959787
Beverages & tobacco,By product (GTAP sector),0.1721412638745738
Non-ferrous metals,By product (GTAP sector),0.16249191114907807
Paper & publishing,By product (GTAP sector),0.14337450737045795
Chemicals,By product (GTAP sector),0.13240594674045603
Wood products,By product (GTAP sector),0.12976079712773633
Fishing,By product (GTAP sector),0.1293999994676567
Oilseeds,By product (GTAP sector),0.12549211082338124
Vegetables & fruit,By product (GTAP sector),0.12273694392327554
Wool,By product (GTAP sector),0.12034521971419937
Electrical equip.,By product (GTAP sector),0.11707904968887446
Other crops,By product (GTAP sector),0.1151821799203187
Mineral products,By product (GTAP sector),0.10471940315939243
Forestry,By product (GTAP sector),0.0977392639300647
Textiles,By product (GTAP sector),0.09746391012426994
Rubber & plastics,By product (GTAP sector),0.07903988247070216
Apparel,By product (GTAP sector),0.07441412404941912
Leather & footwear,By product (GTAP sector),0.07200155465327898
Sugar crops,By product (GTAP sector),0.07165246945796083
Plant fibers,By product (GTAP sector),0.06859090330288013
Machinery & equip.,By product (GTAP sector),0.05778055167251548
Motor vehicles & parts,By product (GTAP sector),0.04225412814209804
Sugar,By product (GTAP sector),8.363280172575698e-4
Other food,By product (GTAP sector),-0.017497534088750866
Dairy,By product (GTAP sector),-0.05654627451377426
